method,dist,n1,n2,rho1,rho2,fz_nosim,fz
pearson,normal,15,15,0.9,0.7,0.31624639,0.299
pearson,normal,15,15,0.9,0.8,0.148053783,0.162
pearson,normal,15,15,0.9,0.9,0.025,0.045
pearson,normal,15,30,0,0,0.025,0.047
pearson,normal,15,30,0,0.1,0.047383881,0.063
pearson,normal,15,30,0,0.2,0.084468638,0.103
pearson,normal,15,30,0,0.3,0.142797804,0.143
pearson,normal,15,30,0,0.4,0.2299906,0.235
pearson,normal,15,30,0,0.5,0.353200078,0.369
pearson,normal,15,30,0,0.6,0.515115825,0.517
pearson,normal,15,30,0,0.7,0.705353965,0.717
pearson,normal,15,30,0,0.8,0.88620181,0.895
pearson,normal,15,30,0,0.9,0.988797304,0.99
pearson,normal,15,30,0.1,0,0.047383881,0.051
pearson,normal,15,30,0.1,0.1,0.025,0.059
pearson,normal,15,30,0.1,0.2,0.047973955,0.057
pearson,normal,15,30,0.1,0.3,0.087385714,0.088
pearson,normal,15,30,0.1,0.4,0.151957261,0.167
pearson,normal,15,30,0.1,0.5,0.252739933,0.245
pearson,normal,15,30,0.1,0.6,0.400791696,0.416
pearson,normal,15,30,0.1,0.7,0.598963417,0.628
pearson,normal,15,30,0.1,0.8,0.820527282,0.827
pearson,normal,15,30,0.1,0.9,0.976936372,0.975
pearson,normal,15,30,0.2,0,0.084468638,0.087
pearson,normal,15,30,0.2,0.1,0.047973955,0.051
pearson,normal,15,30,0.2,0.2,0.025,0.052
pearson,normal,15,30,0.2,0.3,0.049249854,0.063
pearson,normal,15,30,0.2,0.4,0.092881908,0.095
pearson,normal,15,30,0.2,0.5,0.168267893,0.155
pearson,normal,15,30,0.2,0.6,0.292382246,0.276
pearson,normal,15,30,0.2,0.7,0.482262804,0.51
pearson,normal,15,30,0.2,0.8,0.73310673,0.748
pearson,normal,15,30,0.2,0.9,0.955348585,0.956
pearson,normal,15,30,0.3,0,0.142797804,0.184
pearson,normal,15,30,0.3,0.1,0.087385714,0.102
pearson,normal,15,30,0.3,0.2,0.049249854,0.065
pearson,normal,15,30,0.3,0.3,0.025,0.053
pearson,normal,15,30,0.3,0.4,0.051444289,0.062
pearson,normal,15,30,0.3,0.5,0.102251633,0.095
pearson,normal,15,30,0.3,0.6,0.196488332,0.192
pearson,normal,15,30,0.3,0.7,0.362318547,0.36
pearson,normal,15,30,0.3,0.8,0.623407775,0.624
pearson,normal,15,30,0.3,0.9,0.917931818,0.922
pearson,normal,15,30,0.4,0,0.2299906,0.272
pearson,normal,15,30,0.4,0.1,0.151957261,0.167
pearson,normal,15,30,0.4,0.2,0.092881908,0.105
pearson,normal,15,30,0.4,0.3,0.051444289,0.076
pearson,normal,15,30,0.4,0.4,0.025,0.047
pearson,normal,15,30,0.4,0.5,0.055045824,0.076
pearson,normal,15,30,0.4,0.6,0.118367452,0.114
pearson,normal,15,30,0.4,0.7,0.247864888,0.227
pearson,normal,15,30,0.4,0.8,0.494210542,0.474
pearson,normal,15,30,0.4,0.9,0.855958874,0.879
pearson,normal,15,30,0.5,0,0.353200078,0.398
pearson,normal,15,30,0.5,0.1,0.252739933,0.272
pearson,normal,15,30,0.5,0.2,0.168267893,0.177
pearson,normal,15,30,0.5,0.3,0.102251633,0.106
pearson,normal,15,30,0.5,0.4,0.055045824,0.059
pearson,normal,15,30,0.5,0.5,0.025,0.04
pearson,normal,15,30,0.5,0.6,0.061128397,0.071
pearson,normal,15,30,0.5,0.7,0.148380004,0.161
pearson,normal,15,30,0.5,0.8,0.353200078,0.363
pearson,normal,15,30,0.5,0.9,0.758084869,0.761
pearson,normal,15,30,0.6,0,0.515115825,0.519
pearson,normal,15,30,0.6,0.1,0.400791696,0.406
pearson,normal,15,30,0.6,0.2,0.292382246,0.316
pearson,normal,15,30,0.6,0.3,0.196488332,0.207
pearson,normal,15,30,0.6,0.4,0.118367452,0.128
